1,0.0127344280,6.5299852451,0.3583076518,25.8657089682,2.2005178274,0.5346978926
2,4.1547012329,106.1840497833,2.7101435749,28.2373673741,2.1643121399,0.7506352323
3,3.1334264278,81.6125864833,2.1302570410,11.0472243274,-0.6702308028,0.7204647076
4,3.0179641247,78.8346096541,2.0646967878,4.8653991996,-1.7942479706,0.6632048845
5,2.7822792530,73.1641259156,1.9308733716,13.8400799022,-0.2688328682,0.7598939054
6,2.7336983681,71.9952892565,1.9032888265,22.7170765535,1.1738910064,0.6862742566
7,2.7058401108,71.3250307293,1.8874707252,16.7099610108,0.1815791832,0.6962467688
8,2.2719624043,60.8861066613,1.6411121172,7.9029837127,-1.2439067832,0.6558782368
9,1.9493514299,53.1242156638,1.4579314897,12.9731115728,8.9832742871,1.6741825769
10,1.2929463387,37.3313717295,1.0852203728,19.6952105453,0.6594638755,0.6736011231
11,1.0061686039,30.4316141423,0.9223860938,13.5645616741,4.7264699068,0.8559482369
